Group,Sex,Time,Weight,GR
IR,F,-1.307692308,527,12.85365854
IR,F,-1.307692308,407,9.926829268
IR,F,-1.307692308,338,8.243902439
IR,F,-1.307692308,369,9
IR,F,-1.307692308,443,10.80487805
IR,F,-1.307692308,369,9
IR,F,-1.307692308,438,10.68292683
IR,F,-1.307692308,431,10.51219512
IR,F,-1.307692308,430,10.48780488
IR,M,-0.307692308,393,9.357142857
IR,M,-0.307692308,377,8.976190476
IR,M,-0.307692308,403,9.595238095
IR,M,-0.307692308,355,8.452380952
IR,F,-0.307692308,398,9.476190476
IR,M,0.692307692,371,8.627906977
IR,M,0.692307692,338,7.860465116
IR,M,0.692307692,358,8.325581395
IR,M,0.692307692,338,7.860465116
IR,M,0.692307692,393,9.139534884
IR,M,0.692307692,381,8.860465116
IR,M,0.692307692,364,8.465116279
IR,M,0.692307692,399,9.279069767
IR,M,0.692307692,378,8.790697674
IR,M,0.692307692,345,8.023255814
IR,F,0.692307692,371,8.627906977
IR,F,0.692307692,407,9.465116279
IR,M,1.692307692,375,8.522727273
IR,M,1.692307692,345,7.840909091
IR,M,2.692307692,392,8.711111111
IR,M,2.692307692,355,7.888888889
IR,F,3.692307692,544,11.82608696
IR,M,4.692307692,438,9.319148936
IR,F,4.692307692,356,7.574468085
IR,M,5.692307692,328,6.833333333
IR,M,6.692307692,299,6.102040816
IR,M,7.692307692,453,9.06
IR,F,-2.556521739,421,11.07894737
IR,F,-2.556521739,431,11.34210526
IR,M,-1.556521739,390,10
IR,M,-1.556521739,417,10.69230769
IR,M,-1.556521739,417,10.69230769
IR,F,-1.556521739,375,9.615384615
IR,F,-1.556521739,443,11.35897436
IR,F,-1.556521739,406,10.41025641
IR,F,-1.556521739,417,10.69230769
IR,F,-1.556521739,354,9.076923077
IR,F,-1.556521739,494,12.66666667
IR,F,-1.556521739,472,12.1025641
IR,F,-1.556521739,356,9.128205128
IR,F,-1.556521739,464,11.8974359
IR,F,-1.556521739,411,10.53846154
IR,F,-1.556521739,409,10.48717949
IR,F,-1.556521739,453,11.61538462
IR,F,-1.556521739,423,10.84615385
IR,F,-1.556521739,354,9.076923077
IR,F,-1.556521739,452,11.58974359
IR,F,-1.556521739,450,11.53846154
IR,F,-1.556521739,521,13.35897436
IR,F,-1.556521739,454,11.64102564
IR,F,-1.556521739,376,9.641025641
IR,F,-1.556521739,436,11.17948718
IR,F,-1.556521739,385,9.871794872
IR,F,-1.556521739,436,11.17948718
IR,F,-1.556521739,406,10.41025641
IR,M,-0.556521739,384,9.6
IR,M,-0.556521739,394,9.85
IR,M,-0.556521739,382,9.55
IR,M,-0.556521739,403,10.075
IR,M,-0.556521739,424,10.6
IR,M,-0.556521739,397,9.925
IR,M,-0.556521739,380,9.5
IR,M,-0.556521739,390,9.75
IR,M,-0.556521739,451,11.275
IR,M,-0.556521739,437,10.925
IR,M,-0.556521739,426,10.65
IR,F,-0.556521739,408,10.2
IR,F,-0.556521739,406,10.15
IR,F,-0.556521739,413,10.325
IR,F,-0.556521739,448,11.2
IR,F,-0.556521739,400,10
IR,F,-0.556521739,394,9.85
IR,F,-0.556521739,413,10.325
